lhs,,rhs,support,confidence,lift,count
{21},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
{22},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
{23},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
{24},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
{25},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
{26},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
{27},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
{28},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
{29},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
{30},=>,{Nachos},0.0238095238095238,1,3.23076923076923,1
